fid,model,data_type,score_func,score
2,Decision Tree,train,accuracy,0.7343367850406586
2,Decision Tree,validation,accuracy,0.7343735947477291
2,Decision Tree,test,accuracy,0.7348952243906827
2,Decision Tree,train,precision,0.7343367850406586
2,Decision Tree,validation,precision,0.7343735947477291
2,Decision Tree,test,precision,0.7348952243906827
2,Decision Tree,train,recall,1.0
2,Decision Tree,validation,recall,1.0
2,Decision Tree,test,recall,1.0
2,Decision Tree,train,f1,0.8468214378828888
2,Decision Tree,validation,f1,0.846845912520418
2,Decision Tree,test,f1,0.8471926304930457
2,Decision Tree,train,roc_auc,0.5
2,Decision Tree,validation,roc_auc,0.5
2,Decision Tree,test,roc_auc,0.5
2,Random Forest,train,accuracy,0.7343367850406586
2,Random Forest,validation,accuracy,0.7343735947477291
2,Random Forest,test,accuracy,0.7348952243906827
2,Random Forest,train,precision,0.7343367850406586
2,Random Forest,validation,precision,0.7343735947477291
2,Random Forest,test,precision,0.7348952243906827
2,Random Forest,train,recall,1.0
2,Random Forest,validation,recall,1.0
2,Random Forest,test,recall,1.0
2,Random Forest,train,f1,0.8468214378828888
2,Random Forest,validation,f1,0.846845912520418
2,Random Forest,test,f1,0.8471926304930457
2,Random Forest,train,roc_auc,0.5
2,Random Forest,validation,roc_auc,0.5
2,Random Forest,test,roc_auc,0.5
2,Voting,train,accuracy,0.7343367850406586
2,Voting,validation,accuracy,0.7343735947477291
2,Voting,test,accuracy,0.7348952243906827
2,Voting,train,precision,0.7343367850406586
2,Voting,validation,precision,0.7343735947477291
2,Voting,test,precision,0.7348952243906827
2,Voting,train,recall,1.0
2,Voting,validation,recall,1.0
2,Voting,test,recall,1.0
2,Voting,train,f1,0.8468214378828888
2,Voting,validation,f1,0.846845912520418
2,Voting,test,f1,0.8471926304930457
2,Voting,train,roc_auc,0.5
2,Voting,validation,roc_auc,0.5
2,Voting,test,roc_auc,0.5
2,AdaBoost,train,accuracy,0.7343367850406586
2,AdaBoost,validation,accuracy,0.7343735947477291
2,AdaBoost,test,accuracy,0.7348952243906827
2,AdaBoost,train,precision,0.7343367850406586
2,AdaBoost,validation,precision,0.7343735947477291
2,AdaBoost,test,precision,0.7348952243906827
2,AdaBoost,train,recall,1.0
2,AdaBoost,validation,recall,1.0
2,AdaBoost,test,recall,1.0
2,AdaBoost,train,f1,0.8468214378828888
2,AdaBoost,validation,f1,0.846845912520418
2,AdaBoost,test,f1,0.8471926304930457
2,AdaBoost,train,roc_auc,0.5
2,AdaBoost,validation,roc_auc,0.5
2,AdaBoost,test,roc_auc,0.5
3,Logistic,train,accuracy,0.7343367850406586
3,Logistic,validation,accuracy,0.7343735947477291
3,Logistic,test,accuracy,0.7348952243906827
3,Logistic,train,precision,0.7343367850406586
3,Logistic,validation,precision,0.7343735947477291
3,Logistic,test,precision,0.7348952243906827
3,Logistic,train,recall,1.0
3,Logistic,validation,recall,1.0
3,Logistic,test,recall,1.0
3,Logistic,train,f1,0.8468214378828888
3,Logistic,validation,f1,0.846845912520418
3,Logistic,test,f1,0.8471926304930457
3,Logistic,train,roc_auc,0.5
3,Logistic,validation,roc_auc,0.5
3,Logistic,test,roc_auc,0.5
3,SVC,train,accuracy,0.7343367850406586
3,SVC,validation,accuracy,0.7343735947477291
3,SVC,test,accuracy,0.7348952243906827
3,SVC,train,precision,0.7343367850406586
3,SVC,validation,precision,0.7343735947477291
3,SVC,test,precision,0.7348952243906827
3,SVC,train,recall,1.0
3,SVC,validation,recall,1.0
3,SVC,test,recall,1.0
3,SVC,train,f1,0.8468214378828888
3,SVC,validation,f1,0.846845912520418
3,SVC,test,f1,0.8471926304930457
3,SVC,train,roc_auc,0.5
3,SVC,validation,roc_auc,0.5
3,SVC,test,roc_auc,0.5
3,Decision Tree,train,accuracy,0.7810909726819641
3,Decision Tree,validation,accuracy,0.7830290493749438
3,Decision Tree,test,accuracy,0.7811403903228707
3,Decision Tree,train,precision,0.8111979245226101
3,Decision Tree,validation,precision,0.8132248053574346
3,Decision Tree,test,precision,0.8117759568780021
3,Decision Tree,train,recall,0.9148137060120296
3,Decision Tree,validation,recall,0.914610250443941
3,Decision Tree,test,recall,0.91415074712714
3,Decision Tree,train,f1,0.8598956884339515
3,Decision Tree,validation,f1,0.8609429938324975
3,Decision Tree,test,f1,0.8599271287219898
3,Decision Tree,train,roc_auc,0.6631365339381106
3,Decision Tree,validation,roc_auc,0.6669292999299441
3,Decision Tree,test,roc_auc,0.6632869961845965
3,Random Forest,train,accuracy,0.7810909726819641
3,Random Forest,validation,accuracy,0.7830290493749438
3,Random Forest,test,accuracy,0.7811403903228707
3,Random Forest,train,precision,0.8111979245226101
3,Random Forest,validation,precision,0.8132248053574346
3,Random Forest,test,precision,0.8117759568780021
3,Random Forest,train,recall,0.9148137060120296
3,Random Forest,validation,recall,0.914610250443941
3,Random Forest,test,recall,0.91415074712714
3,Random Forest,train,f1,0.8598956884339515
3,Random Forest,validation,f1,0.8609429938324975
3,Random Forest,test,f1,0.8599271287219898
3,Random Forest,train,roc_auc,0.6631365339381106
3,Random Forest,validation,roc_auc,0.6669292999299441
3,Random Forest,test,roc_auc,0.6632869961845965
3,Voting,train,accuracy,0.7810909726819641
3,Voting,validation,accuracy,0.7830290493749438
3,Voting,test,accuracy,0.7811403903228707
3,Voting,train,precision,0.8111979245226101
3,Voting,validation,precision,0.8132248053574346
3,Voting,test,precision,0.8117759568780021
3,Voting,train,recall,0.9148137060120296
3,Voting,validation,recall,0.914610250443941
3,Voting,test,recall,0.91415074712714
